id,value
apache.LevelPatternConverter.org-apache-logging-log4j-core-pattern-LogEventPatternConverter,100
apache.LevelPatternConverter.org-apache-logging-log4j-Level,100
apache.LevelPatternConverter.org-apache-logging-log4j-core-config-plugins-Plugin,100
apache.LevelPatternConverter.org-apache-logging-log4j-core-pattern-ConverterKeys,100
apache.LevelPatternConverter.org-apache-logging-log4j-core-util-Patterns,100
apache.LevelPatternConverter.org-apache-logging-log4j-Logger,100
apache.TypeConverters$IntegerConverter,
apache.TypeConverters$IntegerConverter.org-apache-logging-log4j-core-config-plugins-convert-TypeConverter,100
apache.TypeConverters$IntegerConverter.org-apache-logging-log4j-core-config-plugins-Plugin,100
apache.TypeConverters$IntegerConverter.org-apache-logging-log4j-core-config-plugins-convert-TypeConverters,100
apache.ConstraintValidators,
apache.ConstraintValidators.org-apache-logging-log4j-core-config-plugins-validation-Constraint,100
apache.ConstraintValidators.org-apache-logging-log4j-core-config-plugins-validation-ConstraintValidator,100
apache.ConstraintValidators.org-apache-logging-log4j-core-util-ReflectionUtil,100
apache.PluginBuilderAttribute,
apache.PluginBuilderAttribute.org-apache-logging-log4j-core-config-plugins-PluginVisitorStrategy,100
apache.PluginBuilderAttribute.org-apache-logging-log4j-core-config-plugins-visitors-PluginBuilderAttributeVisitor,100
apache.AsyncLoggerConfig$RootLogger,
apache.AsyncLoggerConfig$RootLogger.org-apache-logging-log4j-core-async-AsyncLoggerConfig,100
apache.AsyncLoggerConfig$RootLogger.org-apache-logging-log4j-LogManager,100
apache.AsyncLoggerConfig$RootLogger.org-apache-logging-log4j-core-config-LoggerConfig,100
apache.AsyncLoggerConfig$RootLogger.org-apache-logging-log4j-core-config-AppenderRef,100
apache.AsyncLoggerConfig$RootLogger.org-apache-logging-log4j-core-config-Property,100
apache.AsyncLoggerConfig$RootLogger.org-apache-logging-log4j-core-config-Configuration,100
apache.AsyncLoggerConfig$RootLogger.org-apache-logging-log4j-core-Filter,100
apache.AsyncLoggerConfig$RootLogger.org-apache-logging-log4j-Level,100
apache.AsyncLoggerConfig$RootLogger.org-apache-logging-log4j-core-config-plugins-PluginFactory,100
apache.AsyncLoggerConfig$RootLogger.org-apache-logging-log4j-core-config-plugins-PluginAttribute,100
apache.AsyncLoggerConfig$RootLogger.org-apache-logging-log4j-core-config-plugins-PluginElement,100
apache.AsyncLoggerConfig$RootLogger.org-apache-logging-log4j-core-config-plugins-PluginConfiguration,100
apache.AsyncLoggerConfig$RootLogger.org-apache-logging-log4j-core-config-plugins-Plugin,100
apache.AsyncLoggerConfig$RootLogger.org-apache-logging-log4j-Logger,100
